variety,scientific_family,processing,food_color_background,food_color_text,datasource,nid,simple_name,name,in_master_cucumis,category,scientific name
Amour,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18748,Cucumber,"Cucumber, var. Amour",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Vertina,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18749,Cucumber,"Cucumber, var. Vertina",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Northern Pickling,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18750,Cucumber,"Cucumber, var. Northern Pickling",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Diamant,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18751,Cucumber,"Cucumber, var. Diamant",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Alibi,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18752,Cucumber,"Cucumber, var. Alibi",,"Pickling Cucumber, melon, fruit",Cucumis sativus
H-19 Little Leaf,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18753,Cucumber,"Cucumber, var. H-19 Little Leaf",,"Pickling Cucumber, melon, fruit",Cucumis sativus
Tasty Jade,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18754,Cucumber,"Cucumber, var. Tasty Jade",,"Asian Cucumber, melon, fruit",Cucumis sativus
Suyo Long,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18755,Cucumber,"Cucumber, var. Suyo Long",,"Asian Cucumber, melon, fruit",Cucumis sativus
Genuine,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18756,Cucumber,"Cucumber, var. Genuine",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",Cucumis sativus
Olympian,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18757,Cucumber,"Cucumber, var. Olympian",,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",Cucumis sativus
Marketmore 76,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18758,Cucumber,"Cucumber, var. Marketmore 76",Marketmore 76,"Slicing ""Burpless"" Cucumber Varieties, melon, fruit",Cucumis sativus
Poona Kheera,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18759,Cucumber,"Cucumber, var. Poona Kheera",Poona Kheera,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
Yellow,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18760,Cucumber,"Cucumber, var. Yellow",,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
 White,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18761,Cucumber,"Cucumber, var.  White",,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
Painted Serpent,Cucurbitaceae,whole,404426,131313,"Internet research, http://www.reimerseeds.com/, http://www.johnnyseeds.com/",18762,Cucumber,"Cucumber, var. Painted Serpent",,"Specialty Cucumber Varieties - , melon, fruit",Cucumis sativus
