name,food_color_background,in_openfood,nid,freebase_id,category,regions_where_grown
Gyokuro,B4C51C,,18974,/m/01qx81,"Green tea, tea, beverage",Japan
Jin Suo Chi tea,4C5445,,18976,/m/09g3fp,"Oolong, tea, beverage",Wuyi Mountains
Assam tea,B4C51C,,18977,/m/03k459,"Black tea,Green tea,White tea, tea, beverage",Assam
Ceylon tea,962F00,,18978,/m/06x92w,"White tea, tea, beverage",Nuwara Eliya
Hyson,B4C51C,,18979,/m/02t57p,"Green tea, tea, beverage",China
Darjeeling tea,962F00,,18981,/m/07ql8f,"Black tea, tea, beverage",Darjeeling
Shincha tea,B4C51C,,18982,/m/08l423,"Green tea, tea, beverage",Japan
matcha latte,962F00,,18983,/m/0b65xj_,"Drink, tea, beverage",
Qi Lan tea,4C5445,,18984,/m/08xxpb,"Oolong, tea, beverage",Wuyi Mountains
Sayama Tea,962F00,,18985,/m/04lg9fw,"tea, beverage",
Gohyah tea,962F00,,18986,/m/09fn7j,"tea, beverage",Brazil
Chrysanthemum tea,962F00,,18987,/m/06rwyj,"tea, beverage","Bozhou,Tongxiang,Chuzhou"
Mao Jian tea,B4C51C,,18989,/m/0286pf0,"Green tea, tea, beverage",Henan
Pouchong,B4C51C,,18991,/m/0177_d,"Green tea,Oolong, tea, beverage",Fujian
Lapsang souchong,962F00,,18992,/m/01pf5y,"Black tea, tea, beverage",Wuyi Mountains
Rou Gui,4C5445,,18994,/m/06wnmx,"Oolong, tea, beverage",Wuyi Mountains
Lv Cha,962F00,,18995,/m/03d_ccd,"tea, beverage",
Bai Ji Guan tea,4C5445,,18996,/m/08hq2k,"Oolong, tea, beverage",Wuyi Mountains
Jin Fo tea,4C5445,,18997,/m/07ld_r,"Oolong, tea, beverage",Wuyi Mountains
Golden needle tea,962F00,,18998,/m/027yv23,"tea, beverage",
Guapian tea,962F00,,18999,/m/0286pc9,"tea, beverage",
Bai Hao Yinzhen tea,962F00,,19000,/m/06w3rt,"White tea, tea, beverage",Fujian
Bu Zhi Chun tea,4C5445,,19001,/m/09g417,"Oolong, tea, beverage",Wuyi Mountains
Bi Luo Chun tea,B4C51C,,19002,/m/02qs1mm,"Green tea, tea, beverage",Jiangsu
Fo Shou tea,4C5445,,19003,/m/09g3qt,"Oolong, tea, beverage",
Shui Jin Gui tea,4C5445,,19004,/m/07lf24,"Oolong, tea, beverage",Wuyi Mountains
Vietnamese lotus tea,B4C51C,,19005,/m/03w9h27,"Green tea, tea, beverage",Vietnam
Dong Ding tea,4C5445,,19006,/m/06wtz1,"Oolong, tea, beverage","Taiwan,Wuyi Mountains"
Huang Guanyin tea,4C5445,,19007,/m/09g3w8,"Oolong, tea, beverage",Wuyi Mountains
Golden Monkey tea,962F00,,19008,/m/0410_q7,"tea, beverage",
Kahwah,962F00,,19009,/m/0gxnqc,"tea, beverage",
Flowering tea,962F00,,19010,/m/02qz0xd,"tea, beverage",
Chai,962F00,,19011,/m/02nnw0,"tea, beverage",
Ceylon tea,962F00,,19012,/m/06wrwc,"Black tea, tea, beverage",Sri Lanka
