Common Name,nid,scientific_name,category,scientific_family
Abaca,,Musa textilis,"fruit, California, California rare fruits, rare fruits",Musaceae
Abiu,9313,Pouteria caimito,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Abyssinian Banana,,Ensete ventricosum,"fruit, California, California rare fruits, rare fruits",Musaceae
Abyssinian Gooseberry,,Dovyalis abyssinica,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Acerola,9314,Malpighia punicifolia,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Achiote,9315,Bixa orellana,"fruit, California, California rare fruits, rare fruits",Bixaceae
Achira,3254,Canna edulis,"fruit, California, California rare fruits, rare fruits",Cannaceae
African Apricot,,Mamumea africana,"fruit, California, California rare fruits, rare fruits",Guttiterae
African Breadfruit,,Treculia africana,"fruit, California, California rare fruits, rare fruits",Moraceae
African Gooseberry,,Dovyalis abyssinica,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
African Honeysuckle,,Halleria lucida,"fruit, California, California rare fruits, rare fruits",Scrophulariaceae
African Horned Cucumber,,Cucumis metuliferus,"fruit, California, California rare fruits, rare fruits",Curcurbitaceae
African Locust,,Parkia biglobosa,"fruit, California, California rare fruits, rare fruits",Leguminosae
African Oil Palm,,Elaeis guineensis,"fruit, California, California rare fruits, rare fruits",Palmae
African Plum,,Vitex doriana,"fruit, California, California rare fruits, rare fruits",Verbenaceae
African Walnut,,Coula edulis,"fruit, California, California rare fruits, rare fruits",Olacaceae
Akebia,,Akebia quinata,"fruit, California, California rare fruits, rare fruits",Lardizabalaceae
Akee,3298,Blighia sapida,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Allspice,760,Pimenta dioica,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Almond,,Prunus dulcis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Alpine Strawberry,,Fragaria vesca,"fruit, California, California rare fruits, rare fruits",Rosaceae
Alupag,3358,Euphoria didyma,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Amazon Tree-Grape,,Pourouma cecropiaefolia,"fruit, California, California rare fruits, rare fruits",Moraceae
Ambarella,3368,Spondias dulcis,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Ambra,,Spondias pinnata,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
American Black Currant,,Ribes americanum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
American Black Gooseberry,,Ribes hirtellum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
American Chestnut,3380,Castanea dentata,"fruit, California, California rare fruits, rare fruits",Fagaceae
American Crab Apple,,Malus augustifolia,"fruit, California, California rare fruits, rare fruits",Rosaceae
American Crab Apple,,Malus coronaria,"fruit, California, California rare fruits, rare fruits",Rosaceae
American Cranberry,,Vaccinimum macrocarpon,"fruit, California, California rare fruits, rare fruits",Ericaceae
American Cranberry Bush,,Viburnum trilobum,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
American Dewberry,,Rubus flagellaris,"fruit, California, California rare fruits, rare fruits",Rosaceae
American Elderberry,,Sambucus canadensis,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
American Hazelnut,3384,Corylus americana,"fruit, California, California rare fruits, rare fruits",Betulaceae
American Persimmon,3386,Diospyros virginiana,"fruit, California, California rare fruits, rare fruits",Ebenaceae
American Plum,3387,Prunus americana,"fruit, California, California rare fruits, rare fruits",Rosaceae
Amra,,Spondias pinnata,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Amur River Grape,,Vitis amurensis,"fruit, California, California rare fruits, rare fruits",Vitaceae
Ananasnaja,,Actinidia arguta X kolomikta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Andean Blackberry,,Rubus glaucus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Annatto,,Bixa orellana,"fruit, California, California rare fruits, rare fruits",Bixaceae
Annona Asiatic,,Cananga odorata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Anonilla,,Annona palmeri,"fruit, California, California rare fruits, rare fruits",Annonaceae
Appalachian Tea,,Ilex glabra,"fruit, California, California rare fruits, rare fruits",Aquifoliaceae
Apple,,Malus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Apple Guava,,Psidium guajava,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Apple Rose,,Rosa pomifera,"fruit, California, California rare fruits, rare fruits",Rosaceae
Appleberry,,Billardiera,"fruit, California, California rare fruits, rare fruits",Pittosporaceae
Apricot,,Prunus americana,"fruit, California, California rare fruits, rare fruits",Rosaceae
Arabian Coffee,,Coffea arabica,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Arctic Beauty,,Actinidia kolomikta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Arkurbal,,Willughbeia angustifolia,"fruit, California, California rare fruits, rare fruits",Apocynaceae
Asian Pear,3175,Pyrus Pyrifolia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Atemoya,,Annona cherimola X squamosa,"fruit, California, California rare fruits, rare fruits",Annonaceae
Australian Almond,,Terminalia canescens,"fruit, California, California rare fruits, rare fruits",Combretaceae
Australian Brush Cherry,,Syzygium paniculatum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Autumn Oleaster,,Elaeagnus umbellata,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Autumn Olive,,Elaeagnus umbellata,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Avocado,,Persea americana,"fruit, California, California rare fruits, rare fruits",Lauraceae
Azarole,,Crataegus azarolus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Babaco,9343,Carica pentagona,"fruit, California, California rare fruits, rare fruits",Caricaceae
Bacae,,Theobroma bicolor,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Bacuri,,Platonia insignis,"fruit, California, California rare fruits, rare fruits",Guttiferae
Bacuripari,,Rheedia macrophylla,"fruit, California, California rare fruits, rare fruits",Guttiferae
Bacury-Pary,,Rheedia macrophylla,"fruit, California, California rare fruits, rare fruits",Guttiferae
Bael Fruit,,Aegle marmelos,"fruit, California, California rare fruits, rare fruits",Rutaceae
Baked Apple Berry,,Rubus chamaemorus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Bakupari,,Rheedia brasiliensis,"fruit, California, California rare fruits, rare fruits",Guttiferae
Bakuri,,Platonia insignis,"fruit, California, California rare fruits, rare fruits",Guttiferae
Banana,,Musa,"fruit, California, California rare fruits, rare fruits",Musaceae
Banana Passion Fruit,,Passiflora antioquiensis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Banana Passion Fruit,,Passiflora mollissima,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Barbados Cherry,,Malpighia punicifolia,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Barbados Gooseberry,,Patinoa almirajo,"fruit, California, California rare fruits, rare fruits",Bombacaceae
Barbados Gooseberry,,Pereskia aculeata,"fruit, California, California rare fruits, rare fruits",Cactaceae
Barberry,,Berberis vulgaris,"fruit, California, California rare fruits, rare fruits",Berberidaceae
Batoko,,Flacourtia indica,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Bay Tree,,Laurus nobilis,"fruit, California, California rare fruits, rare fruits",Lauraceae
Bay Tree,,Persea borbonia,"fruit, California, California rare fruits, rare fruits",Lauraceae
Beach Cherry,,Eugenia reinwardtiana,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Beach Plum,9350,Prunus maritima,"fruit, California, California rare fruits, rare fruits",Rosaceae
Beach Strawberry,,Fragaria chiloensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Bearss Lime,,Citrus latifolia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Bee Bee Raspberry,,Rubus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Belimbing,,Averrhoa carambola,"fruit, California, California rare fruits, rare fruits",Oxalidaceae
Bell Apple,6526,Passiflora laurifolia,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Bengal Quince,,Aegle marmelos,"fruit, California, California rare fruits, rare fruits",Rutaceae
Ber,,Zyzyphus jujuba,"fruit, California, California rare fruits, rare fruits",Ramnaceae
Betel Nut,9360,Areca catechu,"fruit, California, California rare fruits, rare fruits",Palmae
Bigay,,Antidesma bunius,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Bignai,,Antidesma bunius,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Bignay,6566,Antidesma bunius,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Bilimbi,9362,Averrhoa bilimbi,"fruit, California, California rare fruits, rare fruits",Oxalidaceae
Billy Goat Plum,,Terminalia ferdinandiana,"fruit, California, California rare fruits, rare fruits",Combretaceae
Biriba,6573,Rollinia mucosa,"fruit, California, California rare fruits, rare fruits",Annonaceae
Black Apricot,,Prunus armeniaca dasycarpa,"fruit, California, California rare fruits, rare fruits",Rosaceae
Black Cherry,3219,Prunus serotina,"fruit, California, California rare fruits, rare fruits",Rosaceae
Black Choke,,Prunus serotina,"fruit, California, California rare fruits, rare fruits",Rosaceae
Black Current,,Ribes nigrum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Black Elderberry,,Sambucus nigra,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Black Haw,6594,Viburnum prunifolium,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Black Huckleberry,,Gaylussacia baccata,"fruit, California, California rare fruits, rare fruits",Ericaceae
Black Mulberry,6602,Morus nigra,"fruit, California, California rare fruits, rare fruits",Moraceae
Black Persimmon,,Diospyros digyna,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Black Persimmon,,Diospyros texana,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Black Sapote,9372,Diospyros digyna,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Black Tamarind,,Dialium indum,"fruit, California, California rare fruits, rare fruits",Leguminosae
Black Walnut,6622,Juglans nigra,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Black/White Pepper,,Piper nigrum,"fruit, California, California rare fruits, rare fruits",Piperaceae
Blackberry,,Rubus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Blackberry Jam-Fruit,,Randia formosa,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Blackcap,,Rubus occidentalis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Blood Banana,,Musa sumatrana,"fruit, California, California rare fruits, rare fruits",Musaceae
Blue Bean Shrub,,Decaisnea fargesii,"fruit, California, California rare fruits, rare fruits",Lardizabalaceae
Blue Lilly Pilly,6669,Syzygium coolminianum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Blue Passion Flower,6672,Passiflora caerulea,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Blue Taro,,Xanthosoma violaceum,"fruit, California, California rare fruits, rare fruits",Araceae
Blueberry,122,Vaccinium,"fruit, California, California rare fruits, rare fruits",Ericaceae
Bokhara Plum,,Prunus bokhara,"fruit, California, California rare fruits, rare fruits",Rosaceae
Bower Vine,,Actinidia arguta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Box Blueberry,,Vaccinium ovatum,"fruit, California, California rare fruits, rare fruits",Ericaceae
Boysenberry,127,Rubus ursinus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Bramble,,Rubus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Brazil Nut,131,Bertholletia excelsa,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
