"ACCID,N,6,0","DNO,N,6,0",description,food_color_background,variety,sample_statistic,"SPNNO,N,6,0",depiction,scientific_name,scientific_family,common_name,name,date_collected,alititude,longitude,latitude,pedigree,"SIDTYP,C,1","SIDID,C,40"
751970,,,9d9e30,Ames 29378,Wild,402171,,Cucumis prophetarum subsp. prophetarum,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. Ames 29378","Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. Ames 29378",03/01/06,-999,,,,O,Ames 29378
751970,,,9d9e30,22,Wild,402171,http://farm7.staticflickr.com/6205/6120785955_d5a85bdf99_z.jpg,Cucumis prophetarum subsp. prophetarum,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. 22","Wild Cucurbitaceae. Cucumis prophetarum subsp. prophetarum, var. 22",03/01/06,-999,,,,D,22
427563,123057,Population 5 plants,c3e688,79,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. 79",04/08/87,1510,30.86667,-19.3,,D,79
427564,123057,Population 7 plants,c3e688,85,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. 85",04/11/87,1640,32.36667,-18.41667,,D,85
537027,123057,"Fruit: soft spines, 3.2 cm length X 2.8 cm diam.,",c3e688,Ames 23542,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. Ames 23542",04/28/96,880,27.86556,-23.65583,,O,Ames 23542
537027,123057,"Fruit: soft spines, 3.2 cm length X 2.8 cm diam.,",c3e688,JEWM 017,Wild,404375,,Cucumis myriocarpus subsp. myriocarpus,Cucurbitaceae,Gooseberry Cucumber,"Gooseberry Cucumber, var. JEWM 017",04/28/96,880,27.86556,-23.65583,,C,JEWM 017
280236,123057,"Second generation seed from sample received from S. Rehm,",9d9e30,LJ 90898,Wild,404376,,Cucumis myriocarpus subsp. leptodermis,Cucurbitaceae,"Wild Cucurbitaceae. Cucumis myriocarpus subsp. leptodermis, var. LJ 90898","Wild Cucurbitaceae. Cucumis myriocarpus subsp. leptodermis, var. LJ 90898",02/01/56,,,,,I,LJ 90898
167114,123057,"A wild cucumber, eaten cooked with ground meat.",89d9a4,8,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. 8",,,,,,D,8
184717,6001,Received as component of PI 193490 (Citrullus vulgaris),89d9a4,8501,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. 8501",01/01/50,-999,,,,C,8501
407027,123057,"Fruits oblong, spiny, light green to yellow. Growing as",22422d,841126-05,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. 841126-05",11/26/84,-999,,,,C,841126-05
407027,123057,"Fruits oblong, spiny, light green to yellow. Growing as",22422d,Meloncillo.,Wild,404382,,Cucumis anguria var. anguria,Cucurbitaceae,Angurie Des Antilles,"Angurie Des Antilles, var. Meloncillo.",11/26/84,-999,,,,L,Meloncillo.
