name,nid,freebase_id,country_of_origin,region,source_of_milk,category,pasteurized,aging_time,certification,texture,farm_company,cheesemaker,rennet,affineur,rind
Bowland cheese,19058,/m/0464698,England,,,"cheese, dairy",,,,,,,,,
Domiati,19059,/m/0463kh3,,,,"cheese, dairy",,,,,,,,,
Moellon Beloeil,19060,/m/04dm3xf,,,,"cheese, dairy",,,,,,,,,
Paraguay Cheese,19061,/m/04f29ft,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Exquis,19062,/m/04dm3vw,,,,"cheese, dairy",,,,,,,,,
Stichelton,19063,/m/04n6rb1,,,,"cheese, dairy",,,,,,,,,
Trappista cheese,19064,/m/09kkb1,,,,"cheese, dairy",,,,,,,,,
Yarg,19065,/m/09l1n5,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Jalapeño cheese,19066,/m/0db__v,,,,"cheese, dairy",,,,,,,,,
Montasio,3777,/m/04cxk82,Italy,,,"cheese, dairy",,,,,,,,,
Wookie cheese,19068,/m/05plzc,,,,"cheese, dairy",,,,,,,,,
Cantal,19069,/m/05h_hd,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Naskavni,19070,/m/01xxs42,,,,"cheese, dairy",,,,,,,,,
Pimento cheese,19071,/m/0f415v,,,,"cheese, dairy",,,,,,,,,
Manouri cheese,19072,/m/02vpdcc,Greece,,"Domestic sheep,Domestic goat","Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
Wensleydale,19073,/m/0hztz,England,,"Domestic sheep,Cow","Domestic sheep,Cow milk, cheese, dairy",,,,,,,,,
Handkäse,19074,/m/0bb__4,Germany,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bleu d'Auvergne,19075,/m/05zxlr,France,Auvergne,Cow,"Cow milk, cheese, dairy",yes,6 months,,semi-hard,,,traditional,Jean d'Alos,foil wrapped
Chechil,19076,/m/05s_r6t,,,,"cheese, dairy",,,,,,,,,
Crowdie,19077,/m/0b69hk,Scotland,Highland,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Rodoric cheese,19078,/m/09yvgk,Belgium,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Criollo cheese,19079,/m/0db_yp,Mexico,,,"cheese, dairy",,,,,,,,,
Raejuusto,19080,/m/0376cs,Finland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Ricotta cheese,19081,/m/034n3h,Italy,,"Domestic sheep,Cow","Domestic sheep,Cow milk, cheese, dairy",,,,Soft,,,,,
Panela cheese,19082,/m/0dc00j,,,,"cheese, dairy",,,,,,,,,
Remedou cheese,19083,/m/026zww5,Belgium,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Swiss cheese,19084,/m/06q4_,"United States of America,Switzerland",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Havarti,8519,/m/03xb9f,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Danish Blue cheese,19086,/m/068qpk,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Velveeta,19087,/m/04r3t2,United States of America,,,"cheese, dairy",,,,,,,,,
Cotswold cheese,19088,/m/0bxcqc,,,,"cheese, dairy",,,,,,,,,
Brocciu,19089,/m/0cnbvd,France,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Oaxaca cheese,19090,/m/064y0m,Mexico,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cashel Blue cheese,19091,/m/08q3gf,Republic of Ireland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Whey cheese,19092,/m/0416x_r,,,,"cheese, dairy",,,,,,,,,
Yunnan Cheese,19093,/m/09gxvs,,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Époisses de Bourgogne,19094,/m/097psp,France,Époisses,Cow,"Cow milk, cheese, dairy",,,,washed-rind,,,,,
Queso Panela,19095,/m/02z1smb,,,,"cheese, dairy",,,,,,,,,
Panquehue,19096,/m/02719ng,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Ackawi,19097,/m/08pzz2,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Saga cheese,19098,/m/0dk3_w,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Ermite,19099,/m/05zhjtv,Canada,,,"cheese, dairy",,,,,,,,,
The Laughing Cow,19100,/m/06rm5b,"France,United States of America",,,"cheese, dairy",,,,,,,,,
Herrgårdsost,19101,/m/0c6qn4,Sweden,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Port-Salut cheese,19102,/m/0c4tf,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Churpee,19103,/m/0byv7q,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Castelrosso,7071,/m/0278_js,Italy,Piedmont,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Kaškaval,19105,/m/02b795,"Romania,Bulgaria",,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Provoleta,19106,/m/0fgqc8,Argentina,,,"cheese, dairy",,,,,,,,,
Salmon Cream Cheese,19107,/m/0bbdf8,,,,"cheese, dairy",,,,,,,,,
Kefalotyri cheese,19108,/m/08thd9,Greece,,"Domestic sheep,Domestic goat","Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
Cabécou,19109,/m/08nskx,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Fourme au Sauternes,19110,/m/04dm3w5,,,,"cheese, dairy",,,,,,,,,
Abbaye de Tamié,19111,/m/03gs2p6,France,,,"cheese, dairy",,,,,,,,,
Qurt,19112,/m/05b0knh,,,,"cheese, dairy",,,,,,,,,
Baby Swiss Cheese,19113,/m/05m_k3t,United States of America,,,"cheese, dairy",,,,,,,,,
